,UID,From Bus,From Name,To Bus,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Cont Rating,Lim MVA B,Lim MVA C
23,A24,170559,LEWISVILLE_5_2,170561,LEWISVILLE_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.1,2.1,2.1
24,A25,260216,COPPELL_11_3,260217,COPPELL_11_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.3,2.3,2.3
25,A26,260215,COPPELL_11_2,260217,COPPELL_11_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.3,2.3,2.3
26,A27,150456,SHEPPARD_AFB_5_2,150458,SHEPPARD_AFB_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.6,2.6,2.6
27,A28,150457,SHEPPARD_AFB_5_3,150458,SHEPPARD_AFB_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,2.6,2.6,2.6
28,A29,200163,SANTA_ROSA_2_3,200164,SANTA_ROSA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
29,A30,140346,CEDAR_PARK_26_3,140347,CEDAR_PARK_26_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
30,A31,140386,AUSTIN_60_3,140387,AUSTIN_60_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
31,A32,140385,AUSTIN_60_2,140387,AUSTIN_60_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.2,3.2,3.2
32,A33,220138,IRAAN_2_2,220140,IRAAN_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.6,3.6,3.6
33,A34,220139,IRAAN_2_3,220140,IRAAN_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.6,3.6,3.6
34,A35,111226,MONT_BELVIEU_4_3,111227,MONT_BELVIEU_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.9,3.9,3.9
35,A36,111225,MONT_BELVIEU_4_2,111227,MONT_BELVIEU_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,3.9,3.9,3.9
36,A37,111257,HOUSTON_49_3,111258,HOUSTON_49_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.0,4.0,4.0
37,A38,140345,CEDAR_PARK_26_2,140347,CEDAR_PARK_26_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.7,4.7,4.7
38,A39,140365,AUSTIN_57_2,140367,AUSTIN_57_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.8,4.8,4.8
39,A40,111256,HOUSTON_49_2,111258,HOUSTON_49_4,1,Closed,Transformer,YES,0.0,0.01,0.0,4.9,4.9,4.9
40,A41,260202,HURST_10_2,260204,HURST_10_4,1,Closed,Transformer,YES,0.0,0.01,0.0,5.5,5.5,5.5
41,A42,111238,LIVERPOOL_5_4,111239,LIVERPOOL_5_5,1,Closed,Transformer,YES,0.0,0.01,0.0,6.8,6.8,6.8
42,A43,111414,WEBSTER_10_2,111416,WEBSTER_10_4,1,Closed,Transformer,YES,0.0,0.01,0.0,6.9,6.9,6.9
43,A44,111415,WEBSTER_10_3,111416,WEBSTER_10_4,1,Closed,Transformer,YES,0.0,0.01,0.0,6.9,6.9,6.9
44,A45,260108,LEWISVILLE_6_1,260111,LEWISVILLE_6_4,1,Closed,Transformer,YES,0.07753,2.12701,0.0,8.0,8.0,8.0
45,A46,110055,LOUISE_2_3,110056,LOUISE_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
46,A47,110107,MATAGORDA_2_3,110108,MATAGORDA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
47,A48,110067,KENDLETON_1_3,110068,KENDLETON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
48,A49,110038,NADA_1_2,110040,NADA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
49,A50,110090,PALACIOS_1_2,110092,PALACIOS_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
50,A51,110083,ELMATON_1_3,110084,ELMATON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
51,A52,110099,ELMATON_2_3,110100,ELMATON_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
52,A53,110075,DANEVANG_1_3,110076,DANEVANG_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
53,A54,110066,KENDLETON_1_2,110068,KENDLETON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
54,A55,110031,WHARTON_1_3,110032,WHARTON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
55,A56,110006,LANE_CITY_1_2,110008,LANE_CITY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
56,A57,110091,PALACIOS_1_3,110092,PALACIOS_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
57,A58,110078,DANEVANG_2_2,110080,DANEVANG_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
58,A59,110011,MATAGORDA_1_3,110012,MATAGORDA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
59,A60,110063,NADA_2_3,110064,NADA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
60,A61,110046,LOUISE_1_2,110048,LOUISE_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
61,A62,110023,EL_CAMPO_1_3,110024,EL_CAMPO_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
62,A63,110087,BAY_CITY_1_3,110088,BAY_CITY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
63,A64,110015,HUNGERFORD_1_3,110016,HUNGERFORD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
64,A65,110086,BAY_CITY_1_2,110088,BAY_CITY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
65,A66,110039,NADA_1_3,110040,NADA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
66,A67,110106,MATAGORDA_2_2,110108,MATAGORDA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
67,A68,110043,EGYPT_1_3,110044,EGYPT_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
68,A69,110019,EAST_BERNARD_1_3,110020,EAST_BERNARD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
69,A70,110022,EL_CAMPO_1_2,110024,EL_CAMPO_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
70,A71,110058,LOUISE_3_2,110060,LOUISE_3_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
71,A72,110003,EDNA_1_3,110004,EDNA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
72,A73,110095,MIDFIELD_1_3,110096,MIDFIELD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
73,A74,110103,PALACIOS_2_3,110104,PALACIOS_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
74,A75,110007,LANE_CITY_1_3,110008,LANE_CITY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
75,A76,110042,EGYPT_1_2,110044,EGYPT_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
76,A77,110062,NADA_2_2,110064,NADA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
77,A78,110115,EDNA_2_3,110116,EDNA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
78,A79,110071,PLEDGER_1_3,110072,PLEDGER_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
79,A80,110054,LOUISE_2_2,110056,LOUISE_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
80,A81,110079,DANEVANG_2_3,110080,DANEVANG_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
81,A82,110026,EL_CAMPO_2_2,110028,EL_CAMPO_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
82,A83,110047,LOUISE_1_3,110048,LOUISE_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
83,A84,110010,MATAGORDA_1_2,110012,MATAGORDA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
84,A85,110070,PLEDGER_1_2,110072,PLEDGER_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
85,A86,110035,CEDAR_LANE_1_3,110036,CEDAR_LANE_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
86,A87,110050,GANADO_1_2,110052,GANADO_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
87,A88,110114,EDNA_2_2,110116,EDNA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
88,A89,110051,GANADO_1_3,110052,GANADO_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
89,A90,110059,LOUISE_3_3,110060,LOUISE_3_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
90,A91,110027,EL_CAMPO_2_3,110028,EL_CAMPO_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
91,A92,110111,SWEENY_1_3,110112,SWEENY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.0,10.0,10.0
92,A93,110110,SWEENY_1_2,110112,SWEENY_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.2,10.2,10.2
93,A94,110002,EDNA_1_2,110004,EDNA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,10.4,10.4,10.4
94,A95,110094,MIDFIELD_1_2,110096,MIDFIELD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,11.0,11.0,11.0
95,A96,110102,PALACIOS_2_2,110104,PALACIOS_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,11.7,11.7,11.7
96,A97,260038,GRAND_PRAIRIE_10_1,260041,GRAND_PRAIRIE_10_4,1,Closed,Transformer,YES,0.05209,1.54669,0.0,11.7,11.7,11.7
97,A98,180115,FALCON_HEIGHTS_1_3,180116,FALCON_HEIGHTS_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,13.0,13.0,13.0
98,A99,200162,SANTA_ROSA_2_2,200164,SANTA_ROSA_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,13.0,13.0,13.0
99,A100,110098,ELMATON_2_2,110100,ELMATON_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,13.4,13.4,13.4
100,A101,180114,FALCON_HEIGHTS_1_2,180116,FALCON_HEIGHTS_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,13.699998999999998,13.699998999999998,13.699998999999998
101,A102,250303,NACOGDOCHES_5_1,250305,NACOGDOCHES_5_3,1,Closed,Transformer,YES,0.03311,0.96754,0.0,14.6,14.6,14.6
102,A103,111329,CLUTE_6_2,111331,CLUTE_6_4,1,Closed,Transformer,YES,0.0,0.01,0.0,15.2,15.2,15.2
103,A104,160230,CORPUS_CHRISTI_30_2,160232,CORPUS_CHRISTI_30_4,1,Closed,Transformer,YES,0.0,0.01,0.0,15.6,15.6,15.6
104,A105,110082,ELMATON_1_2,110084,ELMATON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,18.099999,18.099999,18.099999
105,A106,210198,WEST_1_2,210200,WEST_1_4,1,Closed,Transformer,YES,0.039080000000000004,0.65483,0.0,18.4,18.4,18.4
106,A107,160243,BLOOMINGTON_4_3,160244,BLOOMINGTON_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,19.499999,19.499999,19.499999
107,A108,110074,DANEVANG_1_2,110076,DANEVANG_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,19.9,19.9,19.9
108,A109,110034,CEDAR_LANE_1_2,110036,CEDAR_LANE_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,23.0,23.0,23.0
109,A110,240309,ELDORADO_4_2,240311,ELDORADO_4_4,1,Closed,Transformer,YES,0.020630000000000003,0.59763,0.0,23.199999,23.199999,23.199999
110,A111,110030,WHARTON_1_2,110032,WHARTON_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,23.3,23.3,23.3
111,A112,110901,GALVESTON_5_3,110902,GALVESTON_5_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
112,A113,110891,PEARLAND_12_3,110892,PEARLAND_12_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
113,A114,110826,SPRING_6_3,110827,SPRING_6_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
114,A115,110989,SPRING_21_3,110990,SPRING_21_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
115,A116,110443,SEABROOK_1_4,110444,SEABROOK_1_5,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
116,A117,140258,TAYLOR_2_3,140259,TAYLOR_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
117,A118,110297,SPLENDORA_1_3,110298,SPLENDORA_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
118,A119,140222,MANCHACA_10_3,140223,MANCHACA_10_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
119,A120,150195,JOSHUA_6_3,150196,JOSHUA_6_4,1,Closed,Transformer,YES,0.0,0.01,0.0,25.0,25.0,25.0
120,A121,150451,WICHITA_FALLS_11_3,150453,WICHITA_FALLS_11_5,1,Closed,Transformer,YES,0.0,0.01,0.0,25.600001000000002,25.600001000000002,25.600001000000002
121,A122,150452,WICHITA_FALLS_11_4,150453,WICHITA_FALLS_11_5,1,Closed,Transformer,YES,0.0,0.01,0.0,25.600001000000002,25.600001000000002,25.600001000000002
122,A123,140321,MARBLE_FALLS_7_6,140322,MARBLE_FALLS_7_7,1,Closed,Transformer,YES,0.0,0.01,0.0,25.7,25.7,25.7
123,A124,140320,MARBLE_FALLS_7_5,140322,MARBLE_FALLS_7_7,1,Closed,Transformer,YES,0.0,0.01,0.0,25.7,25.7,25.7
124,A125,240263,BLACKWELL_2_2,240265,BLACKWELL_2_4,1,Closed,Transformer,YES,0.01374,0.36428,0.0,26.300001,26.300001,26.300001
125,A126,240252,SILVER_2_2,240254,SILVER_2_4,1,Closed,Transformer,YES,0.022940000000000002,0.5943,0.0,27.700001,27.700001,27.700001
126,A127,240181,GOODFELLOW_AFB_9_2,240183,GOODFELLOW_AFB_9_4,1,Closed,Transformer,YES,0.009340000000000001,0.31598000000000004,0.0,29.699999,29.699999,29.699999
127,A128,160242,BLOOMINGTON_4_2,160244,BLOOMINGTON_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,30.899998999999998,30.899998999999998,30.899998999999998
128,A129,210187,HARKER_HEIGHTS_4_2,210189,HARKER_HEIGHTS_4_4,1,Closed,Transformer,YES,0.02045,0.44588,0.0,32.800001,32.800001,32.800001
129,A130,110018,EAST_BERNARD_1_2,110020,EAST_BERNARD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,33.8,33.8,33.8
130,A131,160231,CORPUS_CHRISTI_30_3,160232,CORPUS_CHRISTI_30_4,1,Closed,Transformer,YES,0.0,0.01,0.0,34.599999,34.599999,34.599999
131,A132,140313,HORSESHOE_BAY_4_2,140315,HORSESHOE_BAY_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,35.100001,35.100001,35.100001
132,A133,140314,HORSESHOE_BAY_4_3,140315,HORSESHOE_BAY_4_4,1,Closed,Transformer,YES,0.0,0.01,0.0,35.100001,35.100001,35.100001
133,A134,110014,HUNGERFORD_1_2,110016,HUNGERFORD_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,36.500001,36.500001,36.500001
134,A135,240167,DYESS_AFB_9_2,240169,DYESS_AFB_9_4,1,Closed,Transformer,YES,0.0055,0.17955,0.0,38.2,38.2,38.2
135,A136,210148,WACO_9_2,210150,WACO_9_4,1,Closed,Transformer,YES,0.01329,0.32971,0.0,41.299999,41.299999,41.299999
136,A137,110246,KATY_43_1,110245,KATY_42_1,1,Closed,Line,NO,0.00427,0.01184,0.00041,44.9,44.9,44.9
137,A138,120404,LACKLAND_A_F_B_15_2,120403,LACKLAND_A_F_B_15_1,1,Closed,Transformer,YES,0.00128,0.038560000000000004,0.0,46.900001,46.900001,46.900001
138,A139,170428,DENTON_3_2,170430,DENTON_3_4,1,Closed,Transformer,YES,0.0057,0.12019,0.0,47.400001,47.400001,47.400001
139,A140,240030,LAUGHLIN_A_F_B_6_1,240032,LAUGHLIN_A_F_B_6_3,1,Closed,Transformer,YES,0.01268,0.37426,0.0,47.400001,47.400001,47.400001
140,A141,110984,SPRING_20_3,110985,SPRING_20_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
141,A142,210199,WEST_1_3,210200,WEST_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
142,A143,240014,JUNCTION_2_3,240015,JUNCTION_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
143,A144,140325,CEDAR_PARK_25_3,140326,CEDAR_PARK_25_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
144,A145,110977,CONROE_13_3,110978,CONROE_13_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
145,A146,170429,DENTON_3_3,170430,DENTON_3_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
146,A147,130295,DALLAS_41_3,130296,DALLAS_41_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
147,A148,150122,EASTLAND_1_3,150123,EASTLAND_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
148,A149,140137,AUSTIN_39_3,140138,AUSTIN_39_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
149,A150,110968,HOCKLEY_6_3,110969,HOCKLEY_6_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
150,A151,220121,WICKETT_1_3,220122,WICKETT_1_4,1,Closed,Transformer,YES,0.0,0.01,0.0,50.0,50.0,50.0
151,A152,170535,CARTWRIGHT_2_2,170537,CARTWRIGHT_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,51.999998,51.999998,51.999998
152,A153,170536,CARTWRIGHT_2_3,170537,CARTWRIGHT_2_4,1,Closed,Transformer,YES,0.0,0.01,0.0,51.999998,51.999998,51.999998
153,A154,170359,GARLAND_39_2,170361,GARLAND_39_4,1,Closed,Transformer,YES,0.013519999999999999,0.32773,0.0,51.999998,51.999998,51.999998
154,A155,170318,ADDISON_17_2,170320,ADDISON_17_4,1,Closed,Transformer,YES,0.018359999999999998,0.30238000000000004,0.0,52.499998,52.499998,52.499998
155,A156,170292,RICHARDSON_15_2,170294,RICHARDSON_15_4,1,Closed,Transformer,YES,0.01083,0.26294,0.0,52.8,52.8,52.8
156,A157,170128,PROSPER_6_2,170127,PROSPER_6_1,1,Closed,Transformer,YES,0.00155,0.04458,0.0,53.600001,53.600001,53.600001
157,A158,240013,JUNCTION_2_2,240015,JUNCTION_2_4,1,Closed,Transformer,YES,0.0077599999999999995,0.19545,0.0,54.000002,54.000002,54.000002
158,A159,170258,PLANO_15_2,170260,PLANO_15_4,1,Closed,Transformer,YES,0.00868,0.16931,0.0,55.199999,55.199999,55.199999
159,A160,111237,LIVERPOOL_5_3,111239,LIVERPOOL_5_5,1,Closed,Transformer,YES,0.0,0.01,0.0,55.299997,55.299997,55.299997
160,A161,120221,VON_ORMY_2_1,120219,VON_ORMY_1_1,1,Closed,Line,NO,0.02254,0.05773,0.0013800000000000002,56.5,56.5,56.5
161,A162,170236,MELISSA_3_2,170235,MELISSA_3_1,1,Closed,Transformer,YES,0.00187,0.060989999999999996,0.0,56.900001,56.900001,56.900001
162,A163,150133,KRUM_3_1,150135,KRUM_5_1,1,Closed,Line,NO,0.02188,0.045160000000000006,0.00131,57.499999,57.499999,57.499999
163,A164,160294,POINT_COMFORT_7_3,160295,POINT_COMFORT_7_4,1,Closed,Transformer,YES,0.0,0.01,0.0,58.499998,58.499998,58.499998
164,A165,160293,POINT_COMFORT_7_2,160295,POINT_COMFORT_7_4,1,Closed,Transformer,YES,0.0,0.01,0.0,58.499998,58.499998,58.499998
165,A166,170194,ALLEN_6_2,170196,ALLEN_6_4,1,Closed,Transformer,YES,0.0137,0.27931,0.0,60.399997,60.399997,60.399997
166,A167,120278,SAN_ANTONIO_19_2,120277,SAN_ANTONIO_19_1,1,Closed,Transformer,YES,0.00135,0.0436,0.0,60.900003000000005,60.900003000000005,60.900003000000005
167,A168,120278,SAN_ANTONIO_19_2,120277,SAN_ANTONIO_19_1,2,Closed,Transformer,YES,0.00135,0.0436,0.0,60.900003000000005,60.900003000000005,60.900003000000005
168,A169,110296,SPLENDORA_1_2,110304,NEW_CANEY_2_1,1,Closed,Line,NO,0.02445,0.05562,0.0026,60.900003000000005,60.900003000000005,60.900003000000005
169,A170,170097,CARROLLTON_11_2,170099,CARROLLTON_11_4,1,Closed,Transformer,YES,0.01184,0.24627,0.0,61.699998,61.699998,61.699998
170,A171,240308,ELDORADO_4_1,240311,ELDORADO_4_4,1,Closed,Transformer,YES,0.00463,0.22005999999999998,0.0,61.699998,61.699998,61.699998
171,A172,110594,CYPRESS_34_1,110596,WALLER_3_1,1,Closed,Line,NO,0.05552000000000001,0.13987,0.00861,62.0,62.0,62.0
172,A173,220238,MARATHON_2_1,220240,MARATHON_2_3,1,Closed,Transformer,YES,0.004520000000000001,0.12355,0.0,62.099999,62.099999,62.099999
173,A174,220211,GARDEN_CITY_3_2,220213,GARDEN_CITY_3_4,1,Closed,Transformer,YES,0.00692,0.19722,0.0,63.800001,63.800001,63.800001
174,A175,110485,CLUTE_1_2,110491,BRAZORIA_1_1,1,Closed,Line,NO,0.03296,0.06828,0.02754,63.999999,63.999999,63.999999
175,A176,150332,BURLESON_11_2,150334,BURLESON_11_4,1,Closed,Transformer,YES,0.010320000000000001,0.19143,0.0,64.600003,64.600003,64.600003
176,A177,220238,MARATHON_2_1,220241,MARATHON_2_4,11,Closed,Transformer,YES,0.0,0.01,0.0,64.999998,64.999998,64.999998
177,A178,220129,BIG_SPRING_8_2,220131,BIG_SPRING_8_4,1,Closed,Transformer,YES,0.0066,0.18617999999999998,0.0,64.999998,64.999998,64.999998
178,A179,150135,KRUM_5_1,150252,PONDER_3_1,1,Closed,Line,NO,0.01457,0.04194,0.00203,66.500002,66.500002,66.500002
179,A180,230193,MONTGOMERY_5_1,230196,RICHARDS_3_1,1,Closed,Line,NO,0.02504,0.06145,0.00519,67.1,67.1,67.1
180,A181,150308,CROWLEY_3_2,150310,CROWLEY_3_4,1,Closed,Transformer,YES,0.00757,0.21193,0.0,67.199999,67.199999,67.199999
181,A182,110594,CYPRESS_34_1,110595,HOCKLEY_4_1,1,Closed,Line,NO,0.04036,0.10726,0.00411,67.299998,67.299998,67.299998
182,A183,150294,KELLER_13_2,150296,KELLER_13_4,1,Closed,Transformer,YES,0.00675,0.14470999999999998,0.0,67.6,67.6,67.6
183,A184,110616,SUGAR_LAND_11_1,110642,SUGAR_LAND_35_1,1,Closed,Line,NO,0.007909999999999999,0.02276,0.0019100000000000002,68.199998,68.199998,68.199998
184,A185,150290,NAVAL_AIR_STATION__JRB_5_2,150292,NAVAL_AIR_STATION__JRB_5_4,1,Closed,Transformer,YES,0.01024,0.18707000000000001,0.0,68.5,68.5,68.5
